source,target,type
Belarus,Burkina Faso,landlocked
Belarus,Slovakia,landlocked
Belarus,Kazakhstan,landlocked
Belarus,Moldova,landlocked
Belarus,Mali,landlocked
Belarus,Armenia,landlocked
Belarus,Bolivia,landlocked
Belarus,Tajikistan,landlocked
Belarus,South Sudan,landlocked
Belarus,Serbia,landlocked
Belarus,Bhutan,landlocked
Belarus,Chad,landlocked
Belarus,Zimbabwe,landlocked
Belarus,Mongolia,landlocked
Belarus,Kosovo,landlocked
Belarus,Palestine,landlocked
Czechia,Rwanda,landlocked
Czechia,Vatican City,landlocked
Czechia,Austria,landlocked
Czechia,Turkmenistan,landlocked
Czechia,Central African Republic,landlocked
Czechia,Burkina Faso,landlocked
Czechia,Slovakia,landlocked
Czechia,Kazakhstan,landlocked
Czechia,Moldova,landlocked
Czechia,Mali,landlocked
Czechia,Armenia,landlocked
Czechia,Bolivia,landlocked
Czechia,Tajikistan,landlocked
Czechia,South Sudan,landlocked
Czechia,Serbia,landlocked
Czechia,Bhutan,landlocked
Czechia,Chad,landlocked
Czechia,Zimbabwe,landlocked
Czechia,Mongolia,landlocked
Czechia,Kosovo,landlocked
Czechia,Palestine,landlocked
Rwanda,Vatican City,landlocked
Rwanda,Austria,landlocked
Rwanda,Turkmenistan,landlocked
Rwanda,Central African Republic,landlocked
Rwanda,Burkina Faso,landlocked
Rwanda,Slovakia,landlocked
Rwanda,Kazakhstan,landlocked
Rwanda,Moldova,landlocked
Rwanda,Mali,landlocked
Rwanda,Armenia,landlocked
Rwanda,Bolivia,landlocked
Rwanda,Tajikistan,landlocked
Rwanda,South Sudan,landlocked
Rwanda,Serbia,landlocked
Rwanda,Bhutan,landlocked
Rwanda,Chad,landlocked
Rwanda,Zimbabwe,landlocked
Rwanda,Mongolia,landlocked
Rwanda,Kosovo,landlocked
Rwanda,Palestine,landlocked
Vatican City,Austria,landlocked
Vatican City,Turkmenistan,landlocked
Vatican City,Central African Republic,landlocked
Vatican City,Burkina Faso,landlocked
Vatican City,Slovakia,landlocked
Vatican City,Kazakhstan,landlocked
Vatican City,Moldova,landlocked
Vatican City,Mali,landlocked
Vatican City,Armenia,landlocked
Vatican City,Bolivia,landlocked
Vatican City,Tajikistan,landlocked
Vatican City,South Sudan,landlocked
Vatican City,Serbia,landlocked
Vatican City,Bhutan,landlocked
Vatican City,Chad,landlocked
Vatican City,Zimbabwe,landlocked
Vatican City,Mongolia,landlocked
Vatican City,Kosovo,landlocked
Vatican City,Palestine,landlocked
Austria,Turkmenistan,landlocked
Austria,Central African Republic,landlocked
Austria,Burkina Faso,landlocked
Austria,Slovakia,landlocked
Austria,Kazakhstan,landlocked
Austria,Moldova,landlocked
Austria,Mali,landlocked
Austria,Armenia,landlocked
Austria,Bolivia,landlocked
Austria,Tajikistan,landlocked
Austria,South Sudan,landlocked
Austria,Serbia,landlocked
Austria,Bhutan,landlocked
Austria,Chad,landlocked
Austria,Zimbabwe,landlocked
Austria,Mongolia,landlocked
Austria,Kosovo,landlocked
Austria,Palestine,landlocked
Turkmenistan,Central African Republic,landlocked
Turkmenistan,Burkina Faso,landlocked
Turkmenistan,Slovakia,landlocked
Turkmenistan,Kazakhstan,landlocked
Turkmenistan,Moldova,landlocked
Turkmenistan,Mali,landlocked
Turkmenistan,Armenia,landlocked
Turkmenistan,Bolivia,landlocked
Turkmenistan,Tajikistan,landlocked
Turkmenistan,South Sudan,landlocked
Turkmenistan,Serbia,landlocked
Turkmenistan,Bhutan,landlocked
Turkmenistan,Chad,landlocked
Turkmenistan,Zimbabwe,landlocked
Turkmenistan,Mongolia,landlocked
Turkmenistan,Kosovo,landlocked
Turkmenistan,Palestine,landlocked
Central African Republic,Burkina Faso,landlocked
Central African Republic,Slovakia,landlocked
Central African Republic,Kazakhstan,landlocked
Central African Republic,Moldova,landlocked
Central African Republic,Mali,landlocked
Central African Republic,Armenia,landlocked
Central African Republic,Bolivia,landlocked
Central African Republic,Tajikistan,landlocked
Central African Republic,South Sudan,landlocked
Central African Republic,Serbia,landlocked
Central African Republic,Bhutan,landlocked
Central African Republic,Chad,landlocked
Central African Republic,Zimbabwe,landlocked
Central African Republic,Mongolia,landlocked
Central African Republic,Kosovo,landlocked
Central African Republic,Palestine,landlocked
Burkina Faso,Slovakia,landlocked
Burkina Faso,Kazakhstan,landlocked
Burkina Faso,Moldova,landlocked
Burkina Faso,Mali,landlocked
Burkina Faso,Armenia,landlocked
Burkina Faso,Bolivia,landlocked
Burkina Faso,Tajikistan,landlocked
Burkina Faso,South Sudan,landlocked
Burkina Faso,Serbia,landlocked
Burkina Faso,Bhutan,landlocked
Burkina Faso,Chad,landlocked
Burkina Faso,Zimbabwe,landlocked
Burkina Faso,Mongolia,landlocked
Burkina Faso,Kosovo,landlocked
Burkina Faso,Palestine,landlocked
Slovakia,Kazakhstan,landlocked
Slovakia,Moldova,landlocked
Slovakia,Mali,landlocked
Slovakia,Armenia,landlocked
Slovakia,Bolivia,landlocked
Slovakia,Tajikistan,landlocked
Slovakia,South Sudan,landlocked
Slovakia,Serbia,landlocked
Slovakia,Bhutan,landlocked
Slovakia,Chad,landlocked
Slovakia,Zimbabwe,landlocked
Slovakia,Mongolia,landlocked
Slovakia,Kosovo,landlocked
Slovakia,Palestine,landlocked
Kazakhstan,Moldova,landlocked
Kazakhstan,Mali,landlocked
Kazakhstan,Armenia,landlocked
Kazakhstan,Bolivia,landlocked
Kazakhstan,Tajikistan,landlocked
Kazakhstan,South Sudan,landlocked
Kazakhstan,Serbia,landlocked
Kazakhstan,Bhutan,landlocked
Kazakhstan,Chad,landlocked
Kazakhstan,Zimbabwe,landlocked
Kazakhstan,Mongolia,landlocked
Kazakhstan,Kosovo,landlocked
Kazakhstan,Palestine,landlocked
Moldova,Mali,landlocked
Moldova,Armenia,landlocked
Moldova,Bolivia,landlocked
Moldova,Tajikistan,landlocked
Moldova,South Sudan,landlocked
Moldova,Serbia,landlocked
Moldova,Bhutan,landlocked
Moldova,Chad,landlocked
Moldova,Zimbabwe,landlocked
Moldova,Mongolia,landlocked
Moldova,Kosovo,landlocked
Moldova,Palestine,landlocked
Mali,Armenia,landlocked
Mali,Bolivia,landlocked
Mali,Tajikistan,landlocked
Mali,South Sudan,landlocked
Mali,Serbia,landlocked
Mali,Bhutan,landlocked
Mali,Chad,landlocked
Mali,Zimbabwe,landlocked
Mali,Mongolia,landlocked
Mali,Kosovo,landlocked
Mali,Palestine,landlocked
Armenia,Bolivia,landlocked
Armenia,Tajikistan,landlocked
Armenia,South Sudan,landlocked
Armenia,Serbia,landlocked
Armenia,Bhutan,landlocked
Armenia,Chad,landlocked
Armenia,Zimbabwe,landlocked
Armenia,Mongolia,landlocked
Armenia,Kosovo,landlocked
Armenia,Palestine,landlocked
Bolivia,Tajikistan,landlocked
Bolivia,South Sudan,landlocked
Bolivia,Serbia,landlocked
Bolivia,Bhutan,landlocked
Bolivia,Chad,landlocked
Bolivia,Zimbabwe,landlocked
Bolivia,Mongolia,landlocked
Bolivia,Kosovo,landlocked
Bolivia,Palestine,landlocked
Tajikistan,South Sudan,landlocked
Tajikistan,Serbia,landlocked
Tajikistan,Bhutan,landlocked
Tajikistan,Chad,landlocked
Tajikistan,Zimbabwe,landlocked
Tajikistan,Mongolia,landlocked
Tajikistan,Kosovo,landlocked
Tajikistan,Palestine,landlocked
South Sudan,Serbia,landlocked
South Sudan,Bhutan,landlocked
South Sudan,Chad,landlocked
South Sudan,Zimbabwe,landlocked
South Sudan,Mongolia,landlocked
South Sudan,Kosovo,landlocked
South Sudan,Palestine,landlocked
Serbia,Bhutan,landlocked
Serbia,Chad,landlocked
Serbia,Zimbabwe,landlocked
Serbia,Mongolia,landlocked
Serbia,Kosovo,landlocked
Serbia,Palestine,landlocked
Bhutan,Chad,landlocked
Bhutan,Zimbabwe,landlocked
Bhutan,Mongolia,landlocked
Bhutan,Kosovo,landlocked
Bhutan,Palestine,landlocked
Chad,Zimbabwe,landlocked
Chad,Mongolia,landlocked
Chad,Kosovo,landlocked
Chad,Palestine,landlocked
Zimbabwe,Mongolia,landlocked
Zimbabwe,Kosovo,landlocked
Zimbabwe,Palestine,landlocked
Mongolia,Kosovo,landlocked
Mongolia,Palestine,landlocked
Kosovo,Palestine,landlocked
Switzerland,Austria,bordering
Switzerland,France,bordering
Switzerland,Italy,bordering
Switzerland,Liechtenstein,bordering
Switzerland,Germany,bordering
Sierra Leone,Guinea,bordering
Sierra Leone,Liberia,bordering
Hungary,Austria,bordering
Hungary,Croatia,bordering
Hungary,Romania,bordering
Hungary,Serbia,bordering
Hungary,Slovakia,bordering
Hungary,Slovenia,bordering
Hungary,Ukraine,bordering
Tunisia,Algeria,bordering
Tunisia,Libya,bordering
Italy,Austria,bordering
Italy,France,bordering
Italy,San Marino,bordering
Italy,Slovenia,bordering
Italy,Vatican City,bordering
Benin,Burkina Faso,bordering
Benin,Niger,bordering
Benin,Nigeria,bordering
Benin,Togo,bordering
Indonesia,Timor-Leste,bordering
Indonesia,Malaysia,bordering
Indonesia,Papua New Guinea,bordering
Laos,Myanmar,bordering
Laos,Cambodia,bordering
Laos,China,bordering
Laos,Thailand,bordering
Laos,Vietnam,bordering
Uganda,DR Congo,bordering
Uganda,Kenya,bordering
Uganda,Rwanda,bordering
Uganda,South Sudan,bordering
Uganda,Tanzania,bordering
Andorra,France,bordering
Andorra,Spain,bordering
Burundi,DR Congo,bordering
Burundi,Rwanda,bordering
Burundi,Tanzania,bordering
South Africa,Botswana,bordering
South Africa,Lesotho,bordering
South Africa,Mozambique,bordering
South Africa,Namibia,bordering
South Africa,Eswatini,bordering
South Africa,Zimbabwe,bordering
France,Belgium,bordering
France,Germany,bordering
France,Luxembourg,bordering
France,Monaco,bordering
France,Spain,bordering
Libya,Algeria,bordering
Libya,Chad,bordering
Libya,Egypt,bordering
Libya,Niger,bordering
Libya,Sudan,bordering
Mexico,Belize,bordering
Mexico,Guatemala,bordering
Mexico,United States,bordering
Gabon,Cameroon,bordering
Gabon,Republic of the Congo,bordering
Gabon,Equatorial Guinea,bordering
North Macedonia,Albania,bordering
North Macedonia,Bulgaria,bordering
North Macedonia,Greece,bordering
North Macedonia,Kosovo,bordering
North Macedonia,Serbia,bordering
China,Afghanistan,bordering
China,Bhutan,bordering
China,Myanmar,bordering
China,HKG,bordering
China,India,bordering
China,Kazakhstan,bordering
China,Nepal,bordering
China,North Korea,bordering
China,Kyrgyzstan,bordering
China,MAC,bordering
China,Mongolia,bordering
China,Pakistan,bordering
China,Russia,bordering
China,Tajikistan,bordering
China,Vietnam,bordering
Yemen,Oman,bordering
Yemen,Saudi Arabia,bordering
Uzbekistan,Afghanistan,bordering
Uzbekistan,Kazakhstan,bordering
Uzbekistan,Kyrgyzstan,bordering
Uzbekistan,Tajikistan,bordering
Uzbekistan,Turkmenistan,bordering
Egypt,Israel,bordering
Egypt,Palestine,bordering
Egypt,Sudan,bordering
Senegal,Gambia,bordering
Senegal,Guinea,bordering
Senegal,Guinea-Bissau,bordering
Senegal,Mali,bordering
Senegal,Mauritania,bordering
Sri Lanka,India,bordering
Bangladesh,Myanmar,bordering
Bangladesh,India,bordering
Peru,Bolivia,bordering
Peru,Brazil,bordering
Peru,Chile,bordering
Peru,Colombia,bordering
Peru,Ecuador,bordering
Turkey,Armenia,bordering
Turkey,Azerbaijan,bordering
Turkey,Bulgaria,bordering
Turkey,Georgia,bordering
Turkey,Greece,bordering
Turkey,Iran,bordering
Turkey,Iraq,bordering
Turkey,Syria,bordering
Afghanistan,Iran,bordering
Afghanistan,Pakistan,bordering
Afghanistan,Turkmenistan,bordering
Afghanistan,Tajikistan,bordering
United Kingdom,Ireland,bordering
Zambia,Angola,bordering
Zambia,Botswana,bordering
Zambia,DR Congo,bordering
Zambia,Malawi,bordering
Zambia,Mozambique,bordering
Zambia,Namibia,bordering
Zambia,Tanzania,bordering
Zambia,Zimbabwe,bordering
Finland,Norway,bordering
Finland,Sweden,bordering
Finland,Russia,bordering
Niger,Algeria,bordering
Niger,Burkina Faso,bordering
Niger,Chad,bordering
Niger,Mali,bordering
Niger,Nigeria,bordering
Guinea-Bissau,Guinea,bordering
Azerbaijan,Armenia,bordering
Azerbaijan,Georgia,bordering
Azerbaijan,Iran,bordering
Azerbaijan,Russia,bordering
Djibouti,Eritrea,bordering
Djibouti,Ethiopia,bordering
Djibouti,Somalia,bordering
North Korea,South Korea,bordering
North Korea,Russia,bordering
Colombia,Brazil,bordering
Colombia,Ecuador,bordering
Colombia,Panama,bordering
Colombia,Venezuela,bordering
Greece,Albania,bordering
Greece,Bulgaria,bordering
Croatia,Bosnia and Herzegovina,bordering
Croatia,Montenegro,bordering
Croatia,Serbia,bordering
Croatia,Slovenia,bordering
Morocco,Algeria,bordering
Morocco,ESH,bordering
Morocco,Spain,bordering
Algeria,ESH,bordering
Algeria,Mauritania,bordering
Algeria,Mali,bordering
Netherlands,Belgium,bordering
Netherlands,Germany,bordering
Sudan,Central African Republic,bordering
Sudan,Chad,bordering
Sudan,Eritrea,bordering
Sudan,Ethiopia,bordering
Sudan,South Sudan,bordering
Liechtenstein,Austria,bordering
Nepal,India,bordering
Georgia,Armenia,bordering
Georgia,Russia,bordering
Pakistan,India,bordering
Pakistan,Iran,bordering
Botswana,Namibia,bordering
Botswana,Zimbabwe,bordering
Lebanon,Israel,bordering
Lebanon,Syria,bordering
Dominican Republic,Haiti,bordering
Qatar,Saudi Arabia,bordering
India,Bhutan,bordering
India,Myanmar,bordering
Syria,Iraq,bordering
Syria,Israel,bordering
Syria,Jordan,bordering
Montenegro,Albania,bordering
Montenegro,Bosnia and Herzegovina,bordering
Montenegro,Kosovo,bordering
Montenegro,Serbia,bordering
Eswatini,Mozambique,bordering
Paraguay,Argentina,bordering
Paraguay,Bolivia,bordering
Paraguay,Brazil,bordering
El Salvador,Guatemala,bordering
El Salvador,Honduras,bordering
Ukraine,Belarus,bordering
Ukraine,Moldova,bordering
Ukraine,Poland,bordering
Ukraine,Romania,bordering
Ukraine,Russia,bordering
Ukraine,Slovakia,bordering
Namibia,Angola,bordering
United Arab Emirates,Oman,bordering
United Arab Emirates,Saudi Arabia,bordering
Bulgaria,Romania,bordering
Bulgaria,Serbia,bordering
Germany,Austria,bordering
Germany,Belgium,bordering
Germany,Czechia,bordering
Germany,Denmark,bordering
Germany,Luxembourg,bordering
Germany,Poland,bordering
Cambodia,Thailand,bordering
Cambodia,Vietnam,bordering
Iraq,Iran,bordering
Iraq,Jordan,bordering
Iraq,Kuwait,bordering
Iraq,Saudi Arabia,bordering
Sweden,Norway,bordering
Kyrgyzstan,Kazakhstan,bordering
Kyrgyzstan,Tajikistan,bordering
Russia,Belarus,bordering
Russia,Estonia,bordering
Russia,Kazakhstan,bordering
Russia,Latvia,bordering
Russia,Lithuania,bordering
Russia,Mongolia,bordering
Russia,Norway,bordering
Russia,Poland,bordering
Malaysia,Brunei,bordering
Malaysia,Thailand,bordering
Canada,United States,bordering
Malawi,Mozambique,bordering
Malawi,Tanzania,bordering
Saudi Arabia,Jordan,bordering
Saudi Arabia,Kuwait,bordering
Saudi Arabia,Oman,bordering
Bosnia and Herzegovina,Serbia,bordering
Ethiopia,Eritrea,bordering
Ethiopia,Kenya,bordering
Ethiopia,Somalia,bordering
Ethiopia,South Sudan,bordering
Spain,GIB,bordering
Spain,Portugal,bordering
Slovenia,Austria,bordering
Luxembourg,Belgium,bordering
Argentina,Bolivia,bordering
Argentina,Brazil,bordering
Argentina,Chile,bordering
Argentina,Uruguay,bordering
Costa Rica,Nicaragua,bordering
Costa Rica,Panama,bordering
Thailand,Myanmar,bordering
Honduras,Guatemala,bordering
Honduras,Nicaragua,bordering
Equatorial Guinea,Cameroon,bordering
Belarus,Latvia,bordering
Belarus,Lithuania,bordering
Belarus,Poland,bordering
Latvia,Estonia,bordering
Latvia,Lithuania,bordering
Cameroon,Central African Republic,bordering
Cameroon,Chad,bordering
Cameroon,Republic of the Congo,bordering
Cameroon,Nigeria,bordering
Guinea,Côte d'Ivoire,bordering
Guinea,Liberia,bordering
Guinea,Mali,bordering
Suriname,Brazil,bordering
Suriname,GUF,bordering
Suriname,Guyana,bordering
DR Congo,Angola,bordering
DR Congo,Central African Republic,bordering
DR Congo,Republic of the Congo,bordering
DR Congo,Rwanda,bordering
DR Congo,South Sudan,bordering
DR Congo,Tanzania,bordering
Somalia,Kenya,bordering
Czechia,Austria,bordering
Czechia,Poland,bordering
Czechia,Slovakia,bordering
Togo,Burkina Faso,bordering
Togo,Ghana,bordering
Kenya,South Sudan,bordering
Kenya,Tanzania,bordering
Rwanda,Tanzania,bordering
Romania,Moldova,bordering
Romania,Serbia,bordering
Guyana,Brazil,bordering
Guyana,Venezuela,bordering
Uruguay,Brazil,bordering
Austria,Slovakia,bordering
Turkmenistan,Iran,bordering
Turkmenistan,Kazakhstan,bordering
Mozambique,Tanzania,bordering
Mozambique,Zimbabwe,bordering
Central African Republic,Chad,bordering
Central African Republic,Republic of the Congo,bordering
Central African Republic,South Sudan,bordering
Burkina Faso,Côte d'Ivoire,bordering
Burkina Faso,Ghana,bordering
Burkina Faso,Mali,bordering
Jordan,Israel,bordering
Jordan,Palestine,bordering
Mauritania,Mali,bordering
Mauritania,ESH,bordering
Lithuania,Poland,bordering
Slovakia,Poland,bordering
Angola,Republic of the Congo,bordering
Mali,Côte d'Ivoire,bordering
Armenia,Iran,bordering
Bolivia,Brazil,bordering
Bolivia,Chile,bordering
Guatemala,Belize,bordering
Nigeria,Chad,bordering
Albania,Kosovo,bordering
Brazil,GUF,bordering
Brazil,Venezuela,bordering
Serbia,Kosovo,bordering
Liberia,Côte d'Ivoire,bordering
Ghana,Côte d'Ivoire,bordering
Israel,Palestine,bordering
Grenada,Barbados,area
Grenada,Saint Kitts and Nevis,area
Grenada,Andorra,area
Grenada,Singapore,area
Grenada,Mauritius,area
Grenada,Liechtenstein,area
Grenada,Monaco,area
Grenada,Cyprus,area
Grenada,San Marino,area
Grenada,Marshall Islands,area
Grenada,Luxembourg,area
Grenada,Nauru,area
Grenada,Dominica,area
Grenada,Tuvalu,area
Grenada,Saint Lucia,area
Grenada,Palau,area
Grenada,Bahrain,area
Grenada,Trinidad and Tobago,area
Grenada,Vatican City,area
Grenada,Antigua and Barbuda,area
Grenada,Micronesia,area
Grenada,Samoa,area
Grenada,Saint Vincent and the Grenadines,area
Grenada,Seychelles,area
Grenada,Malta,area
Grenada,Maldives,area
Grenada,Brunei,area
Grenada,Comoros,area
Grenada,Tonga,area
Grenada,Kiribati,area
Grenada,Palestine,area
Grenada,Cape Verde,area
Switzerland,Guinea-Bissau,area
Switzerland,Netherlands,area
Switzerland,Dominican Republic,area
Switzerland,Bosnia and Herzegovina,area
Switzerland,Costa Rica,area
Switzerland,Denmark,area
Switzerland,Estonia,area
Switzerland,Slovakia,area
Switzerland,Moldova,area
Switzerland,Bhutan,area
Switzerland,Taiwan,area
Sierra Leone,Sri Lanka,area
Sierra Leone,Georgia,area
Sierra Leone,Latvia,area
Sierra Leone,Czechia,area
Sierra Leone,Panama,area
Sierra Leone,Ireland,area
Sierra Leone,Lithuania,area
Hungary,Azerbaijan,area
Hungary,United Arab Emirates,area
Hungary,Iceland,area
Hungary,Austria,area
Hungary,South Korea,area
Hungary,Jordan,area
Hungary,Serbia,area
Hungary,Portugal,area
Barbados,Saint Kitts and Nevis,area
Barbados,Andorra,area
Barbados,Singapore,area
Barbados,Mauritius,area
Barbados,Liechtenstein,area
Barbados,Monaco,area
Barbados,Cyprus,area
Barbados,San Marino,area
Barbados,Marshall Islands,area
Barbados,Luxembourg,area
Barbados,Nauru,area
Barbados,Dominica,area
Barbados,Tuvalu,area
Barbados,Saint Lucia,area
Barbados,Palau,area
Barbados,Bahrain,area
Barbados,Trinidad and Tobago,area
Barbados,Vatican City,area
Barbados,Antigua and Barbuda,area
Barbados,Micronesia,area
Barbados,Samoa,area
Barbados,Saint Vincent and the Grenadines,area
Barbados,Seychelles,area
Barbados,Malta,area
Barbados,Maldives,area
Barbados,Brunei,area
Barbados,Comoros,area
Barbados,Tonga,area
Barbados,Kiribati,area
Barbados,Palestine,area
Barbados,Cape Verde,area
Tunisia,Suriname,area
Italy,Oman,area
Benin,North Korea,area
Benin,Bulgaria,area
Benin,Cuba,area
Benin,Malawi,area
Benin,Iceland,area
Benin,Honduras,area
Benin,Eritrea,area
Benin,Guatemala,area
Benin,Liberia,area
Saint Kitts and Nevis,Andorra,area
Saint Kitts and Nevis,Singapore,area
Saint Kitts and Nevis,Mauritius,area
Saint Kitts and Nevis,Liechtenstein,area
Saint Kitts and Nevis,Monaco,area
Saint Kitts and Nevis,Cyprus,area
Saint Kitts and Nevis,San Marino,area
Saint Kitts and Nevis,Marshall Islands,area
Saint Kitts and Nevis,Luxembourg,area
Saint Kitts and Nevis,Nauru,area
Saint Kitts and Nevis,Dominica,area
Saint Kitts and Nevis,Tuvalu,area
Saint Kitts and Nevis,Saint Lucia,area
Saint Kitts and Nevis,Palau,area
Saint Kitts and Nevis,Bahrain,area
Saint Kitts and Nevis,Trinidad and Tobago,area
Saint Kitts and Nevis,Vatican City,area
Saint Kitts and Nevis,Antigua and Barbuda,area
Saint Kitts and Nevis,Micronesia,area
Saint Kitts and Nevis,Samoa,area
Saint Kitts and Nevis,Saint Vincent and the Grenadines,area
Saint Kitts and Nevis,Seychelles,area
Saint Kitts and Nevis,Malta,area
Saint Kitts and Nevis,Maldives,area
Saint Kitts and Nevis,Brunei,area
Saint Kitts and Nevis,Comoros,area
Saint Kitts and Nevis,Tonga,area
Saint Kitts and Nevis,Kiribati,area
Saint Kitts and Nevis,Palestine,area
Saint Kitts and Nevis,Cape Verde,area
Laos,Uganda,area
Laos,United Kingdom,area
Laos,Guinea,area
Laos,Romania,area
Laos,Ghana,area
Uganda,United Kingdom,area
Uganda,Guinea,area
Uganda,Romania,area
Uganda,Ghana,area
Andorra,Singapore,area
Andorra,Mauritius,area
Andorra,Liechtenstein,area
Andorra,Monaco,area
Andorra,Lebanon,area
Andorra,Cyprus,area
Andorra,San Marino,area
Andorra,Marshall Islands,area
Andorra,Luxembourg,area
Andorra,Nauru,area
Andorra,Dominica,area
Andorra,Tuvalu,area
Andorra,Saint Lucia,area
Andorra,Palau,area
Andorra,Bahrain,area
Andorra,Trinidad and Tobago,area
Andorra,Vatican City,area
Andorra,Antigua and Barbuda,area
Andorra,Micronesia,area
Andorra,Samoa,area
Andorra,Saint Vincent and the Grenadines,area
Andorra,Seychelles,area
Andorra,Malta,area
Andorra,Maldives,area
Andorra,Brunei,area
Andorra,Comoros,area
Andorra,Tonga,area
Andorra,Kiribati,area
Andorra,Palestine,area
Andorra,Cape Verde,area
Burundi,North Macedonia,area
Burundi,Solomon Islands,area
Burundi,Guinea-Bissau,area
Burundi,Djibouti,area
Burundi,Fiji,area
Burundi,El Salvador,area
Burundi,Slovenia,area
Burundi,Lesotho,area
Burundi,Haiti,area
Burundi,Equatorial Guinea,area
Burundi,Rwanda,area
Burundi,Moldova,area
Burundi,Armenia,area
Burundi,Albania,area
Burundi,Belize,area
Burundi,Belgium,area
Burundi,Israel,area
Burundi,Taiwan,area
Gabon,Burkina Faso,area
Gabon,Ecuador,area
Gabon,New Zealand,area
North Macedonia,Solomon Islands,area
North Macedonia,Djibouti,area
North Macedonia,Fiji,area
North Macedonia,Eswatini,area
North Macedonia,El Salvador,area
North Macedonia,Slovenia,area
North Macedonia,Lesotho,area
North Macedonia,Haiti,area
North Macedonia,Equatorial Guinea,area
North Macedonia,Rwanda,area
North Macedonia,Moldova,area
North Macedonia,Armenia,area
North Macedonia,Kuwait,area
North Macedonia,Albania,area
North Macedonia,Belize,area
North Macedonia,Belgium,area
North Macedonia,Israel,area
Solomon Islands,Guinea-Bissau,area
Solomon Islands,Djibouti,area
Solomon Islands,El Salvador,area
Solomon Islands,Slovenia,area
Solomon Islands,Lesotho,area
Solomon Islands,Haiti,area
Solomon Islands,Equatorial Guinea,area
Solomon Islands,Rwanda,area
Solomon Islands,Moldova,area
Solomon Islands,Armenia,area
Solomon Islands,Albania,area
Solomon Islands,Belize,area
Solomon Islands,Bhutan,area
Solomon Islands,Belgium,area
Solomon Islands,Israel,area
Solomon Islands,Taiwan,area
Uzbekistan,Morocco,area
Uzbekistan,Iraq,area
Uzbekistan,Sweden,area
Senegal,Kyrgyzstan,area
Sri Lanka,Croatia,area
Sri Lanka,Georgia,area
Sri Lanka,Latvia,area
Sri Lanka,Togo,area
Sri Lanka,Panama,area
Sri Lanka,Ireland,area
Sri Lanka,Lithuania,area
Bangladesh,Nepal,area
Bangladesh,Tajikistan,area
Peru,Chad,area
Singapore,Mauritius,area
Singapore,Liechtenstein,area
Singapore,Monaco,area
Singapore,Lebanon,area
Singapore,Cyprus,area
Singapore,San Marino,area
Singapore,Marshall Islands,area
Singapore,Luxembourg,area
Singapore,Nauru,area
Singapore,Dominica,area
Singapore,Tuvalu,area
Singapore,Saint Lucia,area
Singapore,Palau,area
Singapore,Bahrain,area
Singapore,Trinidad and Tobago,area
Singapore,Vatican City,area
Singapore,Antigua and Barbuda,area
Singapore,Micronesia,area
Singapore,Samoa,area
Singapore,Saint Vincent and the Grenadines,area
Singapore,Seychelles,area
Singapore,Malta,area
Singapore,Gambia,area
Singapore,Maldives,area
Singapore,Brunei,area
Singapore,Comoros,area
Singapore,Tonga,area
Singapore,Kiribati,area
Singapore,Palestine,area
Singapore,Cape Verde,area
United Kingdom,Guinea,area
United Kingdom,Romania,area
United Kingdom,Ghana,area
Zambia,Chile,area
Finland,Malaysia,area
Finland,Philippines,area
Finland,Vietnam,area
Finland,Republic of the Congo,area
Guinea-Bissau,Netherlands,area
Guinea-Bissau,Lesotho,area
Guinea-Bissau,Haiti,area
Guinea-Bissau,Equatorial Guinea,area
Guinea-Bissau,Denmark,area
Guinea-Bissau,Rwanda,area
Guinea-Bissau,Estonia,area
Guinea-Bissau,Moldova,area
Guinea-Bissau,Armenia,area
Guinea-Bissau,Albania,area
Guinea-Bissau,Bhutan,area
Guinea-Bissau,Belgium,area
Guinea-Bissau,Taiwan,area
Azerbaijan,United Arab Emirates,area
Azerbaijan,Czechia,area
Azerbaijan,Austria,area
Azerbaijan,Jordan,area
Azerbaijan,Serbia,area
Azerbaijan,Portugal,area
Djibouti,Fiji,area
Djibouti,Montenegro,area
Djibouti,Eswatini,area
Djibouti,El Salvador,area
Djibouti,Slovenia,area
Djibouti,Lesotho,area
Djibouti,Haiti,area
Djibouti,Equatorial Guinea,area
Djibouti,Rwanda,area
Djibouti,Timor-Leste,area
Djibouti,Armenia,area
Djibouti,Bahamas,area
Djibouti,Kuwait,area
Djibouti,Albania,area
Djibouti,Belize,area
Djibouti,Belgium,area
Djibouti,Israel,area
North Korea,Bulgaria,area
North Korea,Malawi,area
North Korea,Honduras,area
North Korea,Eritrea,area
North Korea,Liberia,area
North Korea,Nicaragua,area
Mauritius,Liechtenstein,area
Mauritius,Monaco,area
Mauritius,Lebanon,area
Mauritius,Qatar,area
Mauritius,Cyprus,area
Mauritius,San Marino,area
Mauritius,Marshall Islands,area
Mauritius,Luxembourg,area
Mauritius,Nauru,area
Mauritius,Dominica,area
Mauritius,Tuvalu,area
Mauritius,Saint Lucia,area
Mauritius,Palau,area
Mauritius,Bahrain,area
Mauritius,Trinidad and Tobago,area
Mauritius,Vatican City,area
Mauritius,Antigua and Barbuda,area
Mauritius,Micronesia,area
Mauritius,Samoa,area
Mauritius,Saint Vincent and the Grenadines,area
Mauritius,Seychelles,area
Mauritius,Malta,area
Mauritius,Gambia,area
Mauritius,Maldives,area
Mauritius,Jamaica,area
Mauritius,Brunei,area
Mauritius,Comoros,area
Mauritius,Tonga,area
Mauritius,Kiribati,area
